Week Ending,Total
2021-02-05,2518
2021-02-12,2281
2021-02-19,1943
2021-02-26,1845
2021-03-05,1793
2021-03-12,1782
2021-03-19,1750
2021-03-26,1764
2021-04-02,1784
2021-04-09,1845
2021-04-16,1883
2021-04-23,1898
2021-04-30,1958
2021-05-07,2029
2021-05-14,2100
2021-05-21,2215
2021-05-28,2313
2021-06-04,2411
2021-06-11,2427
2021-06-18,2482
2021-06-25,2558
2021-07-02,2574
2021-07-09,2629
2021-07-16,2678
2021-07-23,2714
2021-07-30,2727
2021-08-06,2776
2021-08-13,2822
2021-08-20,2851
2021-08-27,2871
2021-09-03,2923
2021-09-10,3006
2021-09-17,3082
2021-09-24,3170
2021-10-01,3288
2021-10-08,3369
2021-10-15,3461
2021-10-22,3548
2021-10-29,3611
2021-11-05,3618
2021-11-12,3644
2021-11-19,3623
2021-11-26,3564
2021-12-03,3505
2021-12-10,3417
2021-12-17,3362
2021-12-24,3226
2021-12-31,3195
2022-01-07,3016
2022-01-14,2810
2022-01-21,2591
2022-01-28,2323
2022-02-04,2101
2022-02-11,1911
2022-02-18,1782
2022-02-25,1643
2022-03-04,1519
2022-03-11,1440
2022-03-18,1389
2022-03-25,1415
2022-04-01,1382
2022-04-08,1397
2022-04-15,1450
2022-04-22,1490
2022-04-29,1567
2022-05-06,1643
2022-05-13,1732
2022-05-20,1819
2022-05-27,1901
2022-06-03,2003
2022-06-10,2095
2022-06-17,2169
2022-06-24,2251
2022-07-01,2311
2022-07-08,2369
2022-07-15,2401
2022-07-22,2416
2022-07-29,2457
2022-08-05,2501
2022-08-12,2519
2022-08-19,2579
2022-08-26,2640
2022-09-02,2694
2022-09-09,2771
2022-09-16,2874
2022-09-23,2977
2022-09-30,3106
2022-10-07,3231
2022-10-14,3342
2022-10-21,3394
2022-10-28,3501
2022-11-04,3580
2022-11-11,3644
2022-11-18,3564
2022-11-25,3483
2022-12-02,3462
2022-12-09,3412
2022-12-16,3325
2022-12-23,3112
2022-12-30,2891
2023-01-06,2902
2023-01-13,2820
2023-01-20,2734
2023-01-27,2583
2023-02-03,2366
2023-02-10,2266
2023-02-17,2195
2023-02-24,2114
2023-03-03,2030
2023-03-10,1972
2023-03-17,1900
2023-03-24,1853
2023-03-31,1830
2023-04-07,1855
2023-04-14,1930
2023-04-21,2009
2023-04-28,2063
2023-05-05,2141
2023-05-12,2240
2023-05-19,2336
2023-05-26,2446
2023-06-02,2550
2023-06-09,2634
2023-06-16,2729
2023-06-23,2805
2023-06-30,2881
2023-07-07,2930
2023-07-14,2971
2023-07-21,2987
2023-07-28,3001
2023-08-04,3030
2023-08-11,3065
2023-08-18,3083
2023-08-25,3115
2023-09-01,3148
2023-09-08,3205
2023-09-15,3269
2023-09-22,3359
2023-09-29,3445
2023-10-06,3529
2023-10-13,3626
2023-10-20,3700
2023-10-27,3779
2023-11-03,3773
2023-11-10,3833
2023-11-17,3826
2023-11-24,3836
2023-12-01,3719
2023-12-08,3664
2023-12-15,3577
2023-12-22,3490
2023-12-29,3476
2024-01-05,3336
2024-01-12,3182
2024-01-19,2856
2024-01-26,2659
2024-02-02,2584
2024-02-09,2530
2024-02-16,2470
2024-02-23,2374
2024-03-01,2334
