DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1991-0218-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bob,USA,United States of America,Northern America,Americas,"North Carolina, Delaware, New York, Richmond, Maine, Rhode Island, Connecticut, Massachusetts, Indiana, Michigan, Ohio, Kentucky",,,No,No,No,,160,Kph,,,,1991,8,18,1991,8,20,18,,1200,,1200,,,620000,1332284,1500000,3223268,46.53662061,,2007-08-08,2023-09-25
1991-0406-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Kph,,,,1991,12,15,1991,12,15,17,,200,,200,,,,,30000,64465,46.53662061,,2003-07-01,2023-09-25
1991-0422-USA,Yes,nat-met-sto-san,Natural,Meteorological,Storm,Sand/Dust storm,,,USA,United States of America,Northern America,Americas,California,,,No,No,No,,,Kph,,,,1991,11,30,1991,11,30,15,100,,,100,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0423-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bob,USA,United States of America,Northern America,Americas,"New England, New York, New Jersey",,,No,No,No,,160,Kph,,,,1991,10,30,1991,10,30,2,,1500,,1500,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0425-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Washington, Idaho, Montana, Wyoming, Colorado",,,No,No,No,,,Km2,,,,1991,10,17,1991,10,17,2,,,300,300,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0426-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Oakland,,,No,No,No,,,Km2,,,,1991,10,21,1991,10,22,26,,,,,,,1200000,2578614,2500000,5372113,46.53662061,,2006-01-13,2023-09-25
1991-0484-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Louisiane",,Flood|Hail,No,No,No,,,Kph,,,,1991,2,18,1991,2,19,,,,,,,,50000,107442,,,46.53662061,,2006-01-07,2023-09-25
1991-0485-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Californie, Arizona",,Flood|Hail,No,No,No,,,Kph,,,,1991,2,27,1991,2,28,,,,,,,,65000,139675,,,46.53662061,,2006-01-07,2023-09-25
1991-0486-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Louisiane, Mississippi, Alabama, Georgie, North Carolina, South Carolina, Floride, New York",,Flood|Hail,No,No,No,,,Kph,,,,1991,3,1,1991,3,4,,,,,,,,120000,257861,,,46.53662061,,2006-01-07,2023-09-25
1991-0487-USA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Californie, Nevada",,,No,No,No,,,Km2,,,,1991,3,2,1991,3,2,,,,,,,,40000,85954,,,46.53662061,,2003-07-01,2023-09-25
1991-0488-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Kansas, Illinois, Indiana",,,No,No,No,,,Kph,,,,1991,3,11,1991,3,11,,,,,,,,,,30000,64465,46.53662061,,2003-07-01,2023-09-25
1991-0490-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Arkansas, Oklahoma, Texas, Indiana, Iowa, Mississippi, Tennessee, Illinois, Kentucky, Missouri",,,No,No,No,,,Km2,,,,1991,3,21,1991,3,21,,,,,,,,85000,182652,,,46.53662061,,2006-01-07,2023-09-25
1991-0491-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Kansas, Missouri, Ohio, Illinois, Wisconsin, New York, Indiana, Tennessee, Michigan, Alabama, Pennsylvanie, Kentucky",,,No,No,No,,,Km2,,,,1991,3,26,1991,3,26,,,,,,,,210000,451258,,,46.53662061,,2003-07-01,2023-09-25
1991-0492-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Alabama, Georgie, North + South Carolina",,,No,No,No,,,Km2,,,,1991,3,28,1991,3,28,,,,,,,,70000,150419,,,46.53662061,,2003-07-01,2023-09-25
1991-0493-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Tennessee, Pennsylvanie, West Virginia, Kentucky",,,No,No,No,,,Km2,,,,1991,4,8,1991,4,8,,,,,,,,60000,128931,,,46.53662061,,2003-07-01,2023-09-25
1991-0494-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Nebraska, Kansas, Texas, Oklahoma, Louisiane, Arkansas, Mississippi",,,No,No,No,,,Km2,,,,1991,4,11,1991,4,11,,,,,,,,80000,171908,,,46.53662061,,2003-07-01,2023-09-25
1991-0496-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Arizona, Floride, Louisiane, Mississippi, Alabama, Georgie",,,No,No,No,,,Km2,,,,1991,4,18,1991,4,18,,,,,,,,100000,214885,,,46.53662061,,2003-07-01,2023-09-25
1991-0499-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Floride, Louisiane",,,No,No,No,,,Km2,,,,1991,4,24,1991,4,24,,,,,,,,33000,70912,,,46.53662061,,2003-07-01,2023-09-25
1991-0500-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Texas, Kansas, Iowa, Louisiane, Nebraska, Missouri, Mississippi, Oklahoma, Alabama, Georgie, Arkansas",,Flood,No,No,No,,,Kph,,,,1991,4,26,1991,4,29,33,,,,,,,350000,752096,1000000,2148845,46.53662061,,2006-09-17,2023-09-25
1991-0501-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Alabama, Georgie, Louisiane, Mississ Ippi, Arkansas, Missouri, Kansas, Illinois, Nebraska, Oklahoma",,,No,No,No,,,Km2,,,,1991,5,2,1991,5,2,,,,,,,,60000,128931,,,46.53662061,,2003-07-01,2023-09-25
1991-0502-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"North + South Dakota, Nebraska",,,No,No,No,,,Km2,,,,1991,5,10,1991,5,10,,,,,,,,50000,107442,,,46.53662061,,2003-07-01,2023-09-25
1991-0503-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Wyoming, Colorado, Oklahoma, Kansas, Missouri, Nebraska",,,No,No,No,,,Km2,,,,1991,5,15,1991,5,15,,,,,,,,85000,182652,,,46.53662061,,2003-07-01,2023-09-25
1991-0504-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Km2,,,,1991,5,21,1991,5,21,,,,,,,,85000,182652,,,46.53662061,,2003-07-01,2023-09-25
1991-0505-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Colorado, Texas, Kansas, Oklahoma, Missouri",,,No,No,No,,,Km2,,,,1991,5,23,1991,5,23,,,,,,,,80000,171908,,,46.53662061,,2003-07-01,2023-09-25
1991-0508-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Nevada, Colorado, Kansas, Nebraska, Oklahoma, Texas",,,No,No,No,,,Kph,,,,1991,5,30,1991,5,30,,,,,,,,130000,279350,,,46.53662061,,2003-07-01,2023-09-25
1991-0513-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"South Dakota, Minnesota",,,No,No,No,,,Kph,,,,1991,6,17,1991,6,17,,,,,,,,30000,64465,,,46.53662061,,2003-07-01,2023-09-25
1991-0514-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Colorado, Texas, Kansas, Nebraska, Oklahoma, Missouri",,,No,No,No,,,Kph,,,,1991,6,21,1991,6,21,,,,,,,,100000,214885,,,46.53662061,,2003-07-01,2023-09-25
1991-0515-USA,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,USA,United States of America,Northern America,Americas,Montana,,,No,No,No,,,Kph,,,,1991,6,24,1991,6,24,,,,,,,,30000,64465,,,46.53662061,,2003-07-01,2023-09-25
1991-0516-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Wisconsin, Ohio, Maryland, Michigan, Indiana, Kentucky, Virginie",,,No,No,No,,,Kph,,,,1991,7,7,1991,7,7,,,,,,,,75000,161163,,,46.53662061,,2003-07-01,2023-09-25
1991-0540-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Kansas, Missouri, Illinois",,,No,No,No,,,Kph,,,,1991,10,2,1991,10,2,,,,,,,,35000,75210,,,46.53662061,,2003-07-01,2023-09-25
1991-0543-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Grace,USA,United States of America,Northern America,Americas,"Massachusetts, New York, Rhode Island, New Jersey, Connecticut",,,No,No,No,,,Kph,,,,1991,10,29,1991,10,29,2,,,,,,,60000,128931,,,46.53662061,,2003-07-01,2023-09-25
1991-0546-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Washington, Oregon, Texas, Arkansas, Ten Nessee, Illinois, Louisiane, Mississippi",,,No,No,No,,,Kph,,,,1991,11,16,1991,11,16,,,,,,,,45000,96698,,,46.53662061,,2003-07-01,2023-09-25
1991-0776-USA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Km2,,,,1991,12,18,1992,1,10,15,,,,,,,,,850000,1826519,46.53662061,,2006-09-17,2023-09-25
1991-9476-USA,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,USA,United States of America,Northern America,Americas,California,,,No,No,No,,3237,Km2,,,,1991,1,,1991,7,,,,,,,,,,,1000000,2148845,46.53662061,,2006-02-13,2023-09-25
1991-9523-USA,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,USA,United States of America,Northern America,Americas,"Pennsylvania, Maryland",,,No,No,No,,,Km2,,,,1991,7,,1991,7,,,,,,,,,,,335000,719863,46.53662061,,2006-07-19,2023-09-25
1992-0066-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Andrew,USA,United States of America,Northern America,Americas,"Florida, Louisiana, Bahamas",,,No,No,No,,290,Kph,,,,1992,8,24,1992,8,24,44,55,,250000,250055,,,17000000,35456459,26500000,55270363,47.94612964,,2004-08-20,2023-09-25
1992-0106-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Axel,USA,United States of America,Northern America,Americas,Majuro ( Marshall Isl.),,,No,No,No,,,Kph,,,,1992,1,7,1992,1,7,,,20000,,20000,,,,,,,47.94612964,,2003-07-01,2023-09-25
1992-0177-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Texas, California",,,No,No,No,,,Kph,,,,1992,2,9,1992,2,9,8,,,,,,,35000,72999,,,47.94612964,,2003-07-01,2023-09-25
1992-0179-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Arizona, Florida",,,No,No,No,,,Kph,,,,1992,3,3,1992,3,3,,,,,,,,75000,156426,,,47.94612964,,2003-07-01,2023-09-25
1992-0181-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Mississipi, Alabama, North Carolina",,,No,No,No,,,Kph,,,,1992,3,8,1992,3,8,,,,,,,,55000,114712,,,47.94612964,,2003-07-01,2023-09-25
1992-0185-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Florida",,,No,No,No,,,Kph,,,,1992,3,24,1992,3,24,,,,,,,,610000,1272261,,,47.94612964,,2003-07-01,2023-09-25
1992-0188-USA,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,USA,United States of America,Northern America,Americas,"Louisiana, Kansas, Missouri",,,No,No,No,,,Kph,,,,1992,4,10,1992,4,10,,,,,,,,275000,573560,,,47.94612964,,2003-07-01,2023-09-25
1992-0191-USA,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,USA,United States of America,Northern America,Americas,"Texas, Mississipi, Alabama",,,No,No,No,,,Kph,,,,1992,4,19,1992,4,19,,,,,,,,60000,125140,,,47.94612964,,2003-07-01,2023-09-25
1992-0193-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Oklahoma, Texas",,,No,No,No,,,Kph,,,,1992,4,28,1992,4,28,,,,,,,,760000,1585112,,,47.94612964,,2003-07-01,2023-09-25
1992-0198-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Oklahoma, Texas, Louisiana, Arkansas",,,No,No,No,,161,Kph,,,,1992,5,10,1992,5,10,,,,,,,,55000,114712,,,47.94612964,,2003-07-01,2023-09-25
1992-0203-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"New Mexico, Texas",,,No,No,No,,,Kph,,,,1992,5,22,1992,5,22,,,,,,,,50000,104284,,,47.94612964,,2003-07-01,2023-09-25
1992-0208-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Texas, Okhahoma, Arkansas, Louisiana",,,No,No,No,,161,Kph,,,,1992,6,14,1992,6,14,,,,,,,,30000,62570,,,47.94612964,,2003-07-01,2023-09-25
1992-0209-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Nebraska, South Dakota, Louisiana, Minnesota, Wisconsin, Michigan, Illinois, Indiana, Ohio, Kentucky, Alabama, Mississippi, Okhahoma, Texas",,,No,No,No,,113,Kph,,,,1992,6,14,1992,6,14,,,,,,,,215000,448420,,,47.94612964,,2003-07-01,2023-09-25
1992-0212-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Kansas, Okhlahoma",,,No,No,No,,,Kph,,,,1992,6,19,1992,6,19,,,,,,,,570000,1188834,,,47.94612964,,2003-07-01,2023-09-25
1992-0214-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Colorado, New Mexico, Okhlahoma, Texas",,,No,No,No,,,Kph,,,,1992,6,24,1992,6,24,,,,,,,,220000,458848,,,47.94612964,,2003-07-01,2023-09-25
1992-0219-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Illinois, Indiana",,,No,No,No,,,Kph,,,,1992,7,2,1992,7,2,,,,,,,,30000,62570,,,47.94612964,,2003-07-01,2023-09-25
1992-0267-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,New York,,,No,No,No,,,Kph,,,,1992,7,5,1992,7,5,,,,,,,,40000,83427,,,47.94612964,,2003-07-01,2023-09-25
1992-0268-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Kansas, Louisiana, Illinois, Missouri, Ohio, Pennsylvania, New York, Connecticut, Rhode Island, New Jersey",,,No,No,No,,,Kph,,,,1992,7,6,1992,7,6,,,,,,,,150000,312851,,,47.94612964,,2003-07-01,2023-09-25
1992-0269-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"California, Idaho, Oregon, Utah",,,No,No,No,,10,Km2,,,,1992,8,17,1992,8,17,,,450,540,990,,,,,85000,177282,47.94612964,,2003-07-01,2023-09-25
1992-0270-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Okhlahoma, Kansas",,,No,No,No,,,Kph,,,,1992,9,5,1992,9,5,,,,,,,,70000,145997,,,47.94612964,,2003-07-01,2023-09-25
1992-0271-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Iniki,USA,United States of America,Northern America,Americas,"Kauai, Nihau, Oahu, Hawai",,Flood|Transport accident,No,No,No,,,Kph,,,,1992,9,11,1992,9,12,6,,25000,,25000,,,1600000,3337079,5000000,10428370,47.94612964,,2007-08-08,2023-09-25
1992-0272-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,Florida,,,No,No,No,,,Kph,,,,1992,10,3,1992,10,3,,,,,,,,100000,208567,,,47.94612964,,2003-07-01,2023-09-25
1992-0273-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Kph,,,,1992,10,15,1992,10,15,,,,,,,,35000,72999,,,47.94612964,,2003-07-01,2023-09-25
1992-0274-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Kentucky, Ohio, Pennsylvania, New York",,,No,No,No,,,Kph,,,,1992,11,12,1992,11,12,,,,,,,,45000,93855,,,47.94612964,,2003-07-01,2023-09-25
1992-0275-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Arkansas, Georgia, Tennessee, Kentucky, Indiana, Ohio, North Carolina",,,No,No,No,,,Kph,,,,1992,11,21,1992,11,21,27,,,,,,,427000,890583,,,47.94612964,,2003-07-01,2023-09-25
1992-0276-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,Alaska,,,No,No,No,,,Kph,,,,1992,12,,1992,12,,,,,,,,,35000,72999,,,47.94612964,,2003-07-01,2023-09-25
1992-0277-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,California,,,No,No,No,,,Kph,,,,1992,12,7,1992,12,7,,,,,,,,100000,208567,,,47.94612964,,2003-07-01,2023-09-25
1992-0278-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"New Jersey, New York, Pennsylvania, Massachusetts",,,No,No,No,,,Kph,,,,1992,12,10,1992,12,13,12,,,,,,,650000,1355688,3000000,6257022,47.94612964,,2006-01-13,2023-09-25
1992-0383-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Tahoe (California),,,No,No,No,,,Km2,,,,1992,9,29,1992,9,29,,,,,,,,,,90000,187711,47.94612964,,2003-07-01,2023-09-25
1993-0043-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Okhlahoma, Minnesota, Wisconsin, Iowa, Illinois, Missouri, South Dakota, North Dakota, Nebraska and Kansas",Heavy rain,,No,No,No,,445000,Km2,,,"Iowa, Des Moines, Mississippi, Raccoon, Cedar, Rock, Illinois, Big Muddy, Missouri, Big Sioux, Red",1993,6,24,1993,8,23,48,,31000,,31000,,,755000,1529537,12000000,24310527,49.36133216,,2005-11-17,2023-09-25
1993-0099-USA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,Washington,,,No,No,No,,,Km2,,,,1993,1,20,1993,1,20,5,,,,,,,,,,,49.36133216,,2003-07-01,2023-09-25
1993-0100-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"California, Nevada, Utah, Arizona",,,No,No,No,,,Kph,,,,1993,1,12,1993,1,12,,,,,,,,125000,253235,,,49.36133216,,2003-07-01,2023-09-25
1993-0123-USA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,,,,No,No,No,,,Km2,,,,1993,2,28,1993,2,28,,,5200,,5200,,,,,190000,384917,49.36133216,,2003-07-01,2023-09-25
1993-0126-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Boyd, Butler, Colfax, Cuming, Dodge, Merrick, Platte, Sarpy, Saunders, Seward and Stanton (Eastern Nebraska)",Snowmelt,,No,No,No,,25230,Km2,,,"Platte, Elkhorn, Loup and Wood rivers",1993,3,7,1993,3,12,2,,1500,,1500,,,,,,,49.36133216,,2005-11-17,2023-09-25
1993-0151-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Tulsa, Catoosa (Oklahoma)",,,No,No,No,,,Kph,,,,1993,4,24,1993,4,25,7,90,,300,390,,,85000,172200,125000,253235,49.36133216,,2006-07-19,2023-09-25
1993-0193-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,Virginia,,,No,No,No,,,Kph,,,,1993,8,6,1993,8,6,4,150,,,150,,,30000,60776,,,49.36133216,,2003-07-01,2023-09-25
1993-0201-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Emily,USA,United States of America,Northern America,Americas,North Carolina,,,No,No,No,,113,Kph,,,,1993,8,28,1993,8,28,1,,,,,,,30000,60776,,,49.36133216,,2003-07-01,2023-09-25
1993-0420-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"California, Arizona, Nevada, Utah",Heavy rain,,No,No,No,,,Km2,,,"Tijuana, Mojave, Gila, Salt, San Francisco",1993,1,6,1993,1,20,43,,6000,,6000,,,,,100000,202588,49.36133216,,2005-11-18,2023-09-25
1993-0421-USA,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,USA,United States of America,Northern America,Americas,"Louisiana, Minnesota, Iowa, Ohio, Virginia",Brief torrential rain,,No,No,No,,42380,Km2,,,,1993,1,20,1993,1,21,,,200,,200,,,175000,354529,,,49.36133216,,2005-11-18,2023-09-25
1993-0422-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Kentucky, Tennessee, Georgia",,,No,No,No,,,Kph,,,,1993,2,21,1993,2,21,3,,,,,,,75000,151941,,,49.36133216,,2003-07-01,2023-09-25
1993-0423-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Maryland, Delaware, New Jersey, Pennsylvania",,,No,No,No,,,Kph,,,,1993,3,4,1993,3,4,,,,,,,,100000,202588,,,49.36133216,,2003-07-01,2023-09-25
1993-0424-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Mississipi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia, Maryland, Delaware, New Jersey, Pennsylvannia, New York, Connecticut, Rhode Island, Massachusetts, Vermont, New Hampshire, Maine, Tennessee, Kentucky, Ohio, West Virginia",,,No,No,No,,,Kph,,,,1993,3,12,1993,3,14,270,,,,,,,1960000,3970719,5000000,10129386,49.36133216,,2008-04-06,2023-09-25
1993-0425-USA,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Kph,,,,1993,3,25,1993,3,25,,,,,,,,125000,253235,,,49.36133216,,2003-07-01,2023-09-25
1993-0426-USA,Yes,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,USA,United States of America,Northern America,Americas,Kansas,,,No,No,No,,,Kph,,,,1993,3,28,1993,3,28,,,,,,,,35000,70906,,,49.36133216,,2003-07-01,2023-09-25
1993-0427-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Georgia, Florida",,,No,No,No,,,Kph,,,,1993,4,5,1993,4,5,,,,,,,,65000,131682,,,49.36133216,,2003-07-01,2023-09-25
1993-0428-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Missouri",,,No,No,No,,,Kph,,,,1993,4,19,1993,4,19,,,,,,,,60000,121553,,,49.36133216,,2003-07-01,2023-09-25
1993-0429-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Kph,,,,1993,4,28,1993,4,29,,,,,,,,45000,91164,,,49.36133216,,2006-01-25,2023-09-25
1993-0430-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Harris, Galveston",,,No,No,No,,,Kph,,,,1993,5,,1993,5,,,,,,,,,40000,81035,,,49.36133216,,2003-07-01,2023-09-25
1993-0431-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Wylie,USA,United States of America,Northern America,Americas,"Minnesota, Kansas, Oklahoma, South Dakota, Texas, Arkansas, Nebraska, Louisiana",,,No,No,No,,,Kph,,,,1993,5,5,1993,5,5,3,60,,,60,,,165000,334270,,,49.36133216,,2003-07-01,2023-09-25
1993-0432-USA,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,USA,United States of America,Northern America,Americas,Boston (Washigton),,,No,No,No,,,°C,,,,1993,6,,1993,6,,48,,,,,,,,,,,49.36133216,,2003-07-01,2023-09-25
1993-0433-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Oklahoma, Kansas, Colorado,, Arkansas, Missouri, Illinois, Indiana, Kentucky, West Virginia, Virginia, Nevada",,,No,No,No,,,Kph,,,,1993,6,2,1993,6,2,,,,,,,,150000,303882,,,49.36133216,,2003-07-01,2023-09-25
