"date,cpu_index,old_cpu_index"
"Apr-04,43.6560779,21.9"
"May-04,75.73579285,31.25"
"Jun-04,76.40351578,35.38"
"Jul-04,64.87805109,21.58"
"Aug-04,44.4551359,41.4"
"Sep-04,57.56079751,19.06"
"Oct-04,106.964105,39.77"
"Nov-04,61.64114862,54.78"
"Dec-04,62.72790324,15.34"
"Jan-05,66.64796341,23.9"
"Feb-05,66.01685432,23.99"
"Mar-05,63.7167658,36.88"
"Apr-05,57.15721314,15.28"
"May-05,56.46791712,4.43"
"Jun-05,72.70385309,113.93"
"Jul-05,94.03488199,50.18"
"Aug-05,49.40855967,17.78"
"Sep-05,106.6390575,44.24"
"Oct-05,47.23708926,22.95"
"Nov-05,38.17054774,19.92"
"Dec-05,74.25979964,57.48"
"Jan-06,35.13993325,31.01"
"Feb-06,50.27802138,40.15"
"Mar-06,52.31544467,35.94"
"Apr-06,66.08489137,61.34"
"May-06,73.70336115,56.97"
"Jun-06,154.3690114,111.63"
"Jul-06,28.16192749,61.66"
"Aug-06,54.90004867,7.06"
"Sep-06,39.54087432,7.96"
"Oct-06,68.82703309,60.06"
"Nov-06,108.0276738,129.35"
"Dec-06,78.90933271,137.79"
"Jan-07,144.0540974,176.91"
"Feb-07,103.0612095,157.74"
"Mar-07,144.2987446,156.06"
"Apr-07,95.45865419,140.24"
"May-07,73.13173818,130.34"
"Jun-07,139.3785174,166.16"
"Jul-07,95.55404747,38.18"
"Aug-07,58.33753402,67.17"
"Sep-07,78.43022502,120.62"
"Oct-07,88.06308914,97.74"
"Nov-07,110.1625404,109.03"
"Dec-07,163.2573241,293.73"
"Jan-08,94.64850879,105.78"
"Feb-08,96.94351639,96.44"
"Mar-08,55.12816288,61.98"
"Apr-08,93.90177954,163.55"
"May-08,85.66721683,107.29"
"Jun-08,77.59509203,110.57"
"Jul-08,109.0399252,184.06"
"Aug-08,90.8978408,104.02"
"Sep-08,100.1195376,110.09"
"Oct-08,132.771247,133.45"
"Nov-08,103.917627,131.96"
"Dec-08,124.9957876,121.42"
"Jan-09,104.2598946,125.93"
"Feb-09,149.8963892,225.92"
"Mar-09,128.8941015,143.8"
"Apr-09,84.95848139,105.16"
"May-09,87.87758408,83.73"
"Jun-09,88.24678604,117.87"
"Jul-09,71.64657962,112.78"
"Aug-09,77.37370337,91.88"
"Sep-09,97.78104702,118.27"
"Oct-09,95.41781309,108.86"
"Nov-09,94.59573833,129.48"
"Dec-09,108.599606,240.6"
"Jan-10,110.484442,182.71"
"Feb-10,62.89395715,104.32"
"Mar-10,78.89089656,75.35"
"Apr-10,106.3566412,119.41"
"May-10,160.3571125,87.88"
"Jun-10,133.244876,87.43"
"Jul-10,101.4714332,121.03"
"Aug-10,117.5594535,83.01"
"Sep-10,130.1349564,116.33"
"Oct-10,111.2400513,96.35"
"Nov-10,136.9150292,143.09"
"Dec-10,101.3182573,49.48"
"Jan-11,127.3389565,90.7"
"Feb-11,98.93989728,64.26"
"Mar-11,158.3348152,106.51"
"Apr-11,156.5996617,87.35"
"May-11,91.33076941,84.4"
"Jun-11,59.11603107,90.63"
"Jul-11,91.92938524,67.43"
"Aug-11,110.5044995,31.82"
"Sep-11,146.1423927,214.23"
"Oct-11,119.1632996,74.09"
